Game,Level,Username,Date,Time/Score,Console,Link,Inserted?,Front Page?
TSFP,Time to Split – Easy,Bstar,06/07/2026,2:56.8,Wii,https://youtu.be/HNGYGVVg5Pw,DONE,Yes
TSFP,Time to Split – Easy,PRTM,06/03/2026,3:05.6,XSX,https://youtu.be/bH19s9UTOY4,DONE,Yes
TSFP,Time to Split – Normal,Bstar,06/08/2026,3:05.2,Wii PAL50,https://youtu.be/9yJjwZYmzyU,DONE,Yes
TSFP,Time to Split – Hard,Bstar,06/17/2026,3:17.9,Wii,https://youtu.be/BPqiwNhMGO4,DONE,Yes
TSFP,Scotland the Brave – Easy,Bstar,05/13/2026,3:08.5,XbOneX,https://youtu.be/jIxvta0gI1Q,DONE,Yes
TSFP,Scotland the Brave – Normal,Bstar,05/14/2026,3:21.7,XbOneX,https://youtu.be/nSUbblMoLLc,DONE,Yes
TSFP,Scotland the Brave – Hard,Bstar,06/26/2026,3:29.1,XbOneX,https://youtu.be/LvoyWhSJIZg,DONE,Yes
TSFP,Scotland the Brave – Hard,PRTM,06/22/2026,3:33.1,XSX,https://youtu.be/cTFXDeW3flU,DONE,Yes
TSFP,Russian Connection – Easy,PRTM,06/24/2026,5:31.5,XSX,https://youtu.be/xpAQK4lwgSc,DONE,Yes
TSFP,Russian Connection – Normal,PRTM,05/16/2026,5:34.1,XSX,https://youtu.be/buTXy9lZAZs,DONE,Yes
TSFP,Russian Connection – Hard,PRTM,06/03/2026,5:34.4,XSX,https://youtu.be/POqFii99pQI,DONE,Yes
TSFP,Khallos Express – Normal,Bstar,06/14/2026,3:22.6,XbOneX,https://youtu.be/Z2AiYN06kgM,DONE,Yes
TSFP,Khallos Express – Hard,Bstar,06/16/2026,3:23.2,XbOneX,https://youtu.be/BLK3ggmTaEc,DONE,Yes
TSFP,What Lies Below – Easy,Bstar,05/02/2026,9.5,Wii PAL50,https://youtu.be/WtwpXAK_Tto,DONE,Yes
TSFP,What Lies Below – Normal,Bstar,05/02/2026,`9.0,Wii PAL50,https://youtu.be/VVPTLjappnc,DONE,Yes
TSFP,What Lies Below – Hard,Bstar,05/02/2026,12.2,Wii PAL50,https://youtu.be/qtOV-3sYKZc,DONE,Yes
TSFP,Breaking & Entering – Easy,Bstar,05/08/2026,4:18.5,Wii,https://youtu.be/FtSD2ICp1Wo,DONE,Yes
TSFP,Breaking & Entering – Normal,Bstar,05/08/2026,4:20.4,Wii,https://youtu.be/bGmRQD1sCsw,DONE,Yes
TSFP,Breaking & Entering – Hard,Bstar,05/09/2026,4:23.0,Wii,https://youtu.be/dPb5t__7LC4,DONE,Yes
TSFP,U-Genix – Easy,Bstar,06/02/2026,5:19.7,Wii PAL50,https://youtu.be/oJ7x8rwomEY,DONE,Yes
TSFP,U-Genix – Normal,Bstar,05/31/2026,5:26.1,Wii PAL50,https://youtu.be/ERYDnnhom_w,DONE,Yes
TSFP,U-Genix – Hard,Bstar,06/02/2026,5:37.8,Wii PAL50,https://youtu.be/EgDGbkiYVPE,DONE,Yes
TSFP,U-Genix – Hard,PRTM,05/14/2026,5:42.7,Wii PAL50,https://youtu.be/ZYCp5Qe_rbY,DONE,Yes
TSFP,Machine Wars – Easy,Bstar,04/15/2026,3:16.9,Wii PAL50,https://youtu.be/LR-QZH3Klkc,DONE,Yes
TSFP,Machine Wars – Normal,Bstar,05/01/2026,3:18.4,Wii PAL50,https://youtu.be/xCBJDB5qzkY,DONE,Yes
TSFP,Machine Wars – Hard,Bstar,06/30/2026,3:16.9,Wii PAL50,https://youtu.be/CZ7qc7hqVOc,DONE,Yes
TSFP,Something to Crow About – Easy,Bstar,05/05/2026,6:29.1,Wii,https://youtu.be/n7Q8fHXD8xI,DONE,Yes
TSFP,Something to Crow About – Normal,Bstar,05/05/2026,6:28.0,Wii,https://youtu.be/ck5fkRTUeGw,DONE,Yes
TSFP,Something to Crow About – Hard,Bstar,05/06/2026,6:35.9,Wii,https://youtu.be/neeVTpyLJOg,DONE,Yes
TSFP,Hooded Man – Easy,Bstar,05/21/2026,2:45.8,XbOneX,https://youtu.be/zYkj-Z88ygo,DONE,Yes
TSFP,Hooded Man – Normal,Bstar,05/21/2026,2:57.9,XbOneX,https://youtu.be/DGXjKwFVCH4,DONE,Yes
TSFP,Hooded Man – Hard,Bstar,05/21/2026,3:04.5,XbOneX,https://youtu.be/KYeUzXbjZdM,DONE,Yes
,,,,,,,,
TSFP,Big Game Hunt,unbalanc2d,05/31/2026,108,XSX,https://youtu.be/r6KPP4E5IQI,DONE,Yes
TSFP,Big Game Hunt,PRTM,05/23/2026,107,XSX,https://youtu.be/33-jdPAHfr4,DONE,Yes
TSFP,Big Game Hunt,TB-303,04/30/2026,98,PS2,https://youtu.be/q9wPBSyCon8,DONE,Yes
TSFP,"The Dead, The Bad and The Silly",PRTM,07/04/2026,1:04.6,XSX,https://youtu.be/MFBmbKXAQhc,DONE,Yes
TSFP,Front Loaded,order66.exe,07/29/2026,`45.0,PS3,https://youtu.be/LeRhP0Jxaok,DONE,Yes
TSFP,Virtual Brutality,Bstar,07/01/2026,1:11.9,PS3,https://youtu.be/OfGTAe2tM2M,DONE,Yes
TSFP,Pirate Gold,Bstar,07/15/2026,18.4,PS3,https://youtu.be/hbwncLdtATk,DONE,Yes
TSFP,Commuting Will Kill You,Bstar,08/11/2026,1:35.9,XbOneX,https://youtu.be/9tRSdLne4pw,DONE,Yes
TSFP,The Cat’s Out of the Bag,Bstar,08/15/2026,59.6,Wii,https://youtu.be/0m_Iry_8hH4,DONE,Yes
TSFP,Buggy time trial,TB-303,02/26/2026,1:31,WiiU PAL50,https://youtu.be/Tgo1sKOjrDw,DONE,Yes
TSFP,Screw Loose,TB-303,06/24/2026,55.4,PS2,https://youtu.be/Uy3bPGGotgg,DONE,Yes
TSFP,Old Blaggers,TB-303,07/17/2026,8,PS2,https://youtu.be/K90UYscsOPU,DONE,Yes
TSFP,Avec Le Brique,TB-303,07/25/2026,1:11.8,PS2,https://youtu.be/If1j0NHcwIE,DONE,Yes
,,,,,,,,
TSFP,Story Easy,PRTM,07/27/2026,52:44,XSX,https://youtu.be/Vi2o_j8WOLI,DONE,Yes
TSFP,Story Hard,PRTM,06/25/2026,57:21,XSX,https://youtu.be/S7YJLzCGqGM,DONE,Yes
TSFP,Story Easy (Glitchless),unbalanc2d,09/29/2025,1:15:47,XSX,https://youtu.be/pxhlMpsYenU,DONE,Yes
TSFP,Story Easy (Glitchless),benouille,01/07/2026,1:16:44,PS2,https://youtu.be/uWp11OaXp0w,DONE,Yes
TSFP,Story Normal (Glitchless),PRTM,08/09/2026,1:13:21,XSX,https://youtu.be/BwdaVZcQqLw,DONE,Yes
TSFP,Story Hard (Glitchless),unbalanc2d,10/07/2025,1:27:31,XSX,https://youtu.be/A4cMfBsdAj8,DONE,Yes
TSFP,Challenges – Any,order66.exe,09/09/2026,31:53,PS3,https://youtu.be/oBS3tAYltYw,DONE,Yes
TSFP,100% - Gold+,PRTM,07/12/2026,2:57:57,XSX,https://youtu.be/0z78xR0XW4I,DONE,Yes
TSFP,100% - Plat,PRTM,07/22/2026,3:30:42,XSX,https://youtu.be/qHFiFErBaMg,DONE,Yes
TSFP,100% - Plat,unbalanc2d,12/07/2025,5:03:04,XSX,https://youtu.be/f4Vsyqb4L6U,DONE,Yes
,,,,,,,,
TS2,Cold Corpse Caper,unbalanc2d,08/01/2026,102,XSX,https://youtu.be/oF0InC1Ods0,DONE,Yes
TS2,Cold Corpse Caper,TB-303,07/17/2026,96,PS2,https://youtu.be/ZPFDmrKuqjQ,DONE,Yes
TS2,Cold Corpse Caper,order66.exe,07/15/2026,95,PS3,https://youtu.be/f2cSmVsmMUs,DONE,Yes
TS2,Demolition Derby,order66.exe,07/16/2026,78,PS3,https://youtu.be/j3MQBFRpebM,DONE,Yes
TS2,Big Top Blowout,unbalanc2d,11/18/2025,63,XSX,https://youtu.be/1zrlL_Mpo00,DONE,Yes
TS2,Badass Buspass Impasse,unbalanc2d,08/03/2026,40.6,XSX,https://youtu.be/sM-dIxVgW6E,DONE,Yes
TS2,Killer Queen,unbalanc2d,08/03/2026,43.3,XSX,https://youtu.be/BNpnvThiYts,DONE,Yes
TS2,Day of the Dammed,TB-303,10/09/2025,94200,PS2,https://youtu.be/OCHvvgtrVvo,DONE,Yes
